L [m],Gamma soil kN/m3],phi soil [degree],Surcharge [kN/m],Concrete cost,Pile Diameter (X1) [m]
3,14,27,0,50,0.253
4,14,27,0,50,0.266
5,14,27,0,50,0.371
6,14,27,0,50,0.511
7,14,27,0,50,0.664
8,14,27,0,50,0.822
9,14,27,0,50,1.006
10,14,27,0,50,1.194
11,14,27,0,50,1.385
12,14,27,0,50,1.591
3,15,27,0,50,0.254
4,15,27,0,50,0.266
5,15,27,0,50,0.393
6,15,27,0,50,0.533
7,15,27,0,50,0.693
8,15,27,0,50,0.862
9,15,27,0,50,1.045
10,15,27,0,50,1.235
11,15,27,0,50,1.426
12,15,27,0,50,1.649
3,16,27,0,50,0.254
4,16,27,0,50,0.266
5,16,27,0,50,0.406
6,16,27,0,50,0.558
7,16,27,0,50,0.72
8,16,27,0,50,0.895
9,16,27,0,50,1.078
10,16,27,0,50,1.282
11,16,27,0,50,1.486
12,16,27,0,50,1.72
3,17,27,0,50,0.253
4,17,27,0,50,0.271
5,17,27,0,50,0.417
6,17,27,0,50,0.58
7,17,27,0,50,0.743
8,17,27,0,50,0.923
9,17,27,0,50,1.127
10,17,27,0,50,1.329
11,17,27,0,50,1.545
12,17,27,0,50,1.778
3,18,27,0,50,0.253
4,18,27,0,50,0.284
5,18,27,0,50,0.438
6,18,27,0,50,0.597
7,18,27,0,50,0.773
8,18,27,0,50,0.958
9,18,27,0,50,1.156
10,18,27,0,50,1.372
11,18,27,0,50,1.602
3,19,27,0,50,0.253
4,19,27,0,50,0.298
5,19,27,0,50,0.451
6,19,27,0,50,0.618
7,19,27,0,50,0.799
8,19,27,0,50,0.994
9,19,27,0,50,1.199
10,19,27,0,50,1.417
11,19,27,0,50,1.656
3,20,27,0,50,0.253
4,20,27,0,50,0.311
5,20,27,0,50,0.468
6,20,27,0,50,0.635
7,20,27,0,50,0.824
8,20,27,0,50,1.012
9,20,27,0,50,1.237
10,20,27,0,50,1.459
11,20,27,0,50,1.68
3,14,28,0,50,0.253
4,14,28,0,50,0.266
5,14,28,0,50,0.369
6,14,28,0,50,0.503
7,14,28,0,50,0.645
8,14,28,0,50,0.808
9,14,28,0,50,0.977
10,14,28,0,50,1.157
11,14,28,0,50,1.358
12,14,28,0,50,1.556
3,15,28,0,50,0.253
4,15,28,0,50,0.266
5,15,28,0,50,0.381
6,15,28,0,50,0.524
7,15,28,0,50,0.668
